time [s],x [m],y [m],speed [m/s],acceleration [m/s²]
7.15789,0.813158,0.35,0.08,0
7.20574,0.816986,0.35,0.08,0
7.25359,0.820813,0.35,0.08,0
7.30144,0.824641,0.35,0.08,0
7.34928,0.828469,0.35,0.08,0
7.39713,0.832297,0.35,0.08,0
7.44498,0.836124,0.35,0.08,0
7.49282,0.839952,0.35,0.08,0
7.54067,0.84378,0.35,0.08,0
7.58852,0.847608,0.35,0.08,0
7.63636,0.851435,0.35,0.08,0
7.68421,0.855263,0.35,0.08,0
7.73206,0.859091,0.35,0.08,0
7.7799,0.862919,0.35,0.08,0
7.82775,0.866746,0.35,0.08,0
7.8756,0.870574,0.35,0.08,0
7.92344,0.874402,0.35,0.08,0
7.97129,0.87823,0.35,0.08,0
8.01914,0.882057,0.35,0.08,0
8.06699,0.885885,0.35,0.08,0
8.11483,0.889713,0.35,0.08,0
8.16268,0.893541,0.35,0.08,0
8.21053,0.897368,0.35,0.08,0
8.25837,0.901196,0.35,0.08,0
8.30622,0.905024,0.35,0.08,0
8.35407,0.908852,0.35,0.08,0
8.40191,0.912679,0.35,0.08,0
8.44976,0.916507,0.35,0.08,0
8.49761,0.920335,0.35,0.08,0
8.54545,0.924163,0.35,0.08,0
8.5933,0.92799,0.35,0.08,0
8.64115,0.931818,0.35,0.08,0
8.689,0.935646,0.35,0.08,0
8.73684,0.939474,0.35,0.08,0
8.73684,0.941607,0.35,0.08,-0
8.77725,0.94374,0.35,0.0799757,-0.00119988
8.81765,0.94587,0.35,0.0799034,-0.00237527
8.85805,0.947998,0.35,0.0797841,-0.00352617
8.89846,0.950121,0.35,0.0796188,-0.00465259
8.93886,0.952239,0.35,0.0794084,-0.00575451
8.97927,0.95435,0.35,0.0791541,-0.00683196
9.01967,0.956452,0.35,0.0788567,-0.00788491
9.06007,0.958546,0.35,0.0785172,-0.00891338
9.10048,0.96063,0.35,0.0781367,-0.00991736
9.14088,0.962702,0.35,0.0777162,-0.0108968
9.18129,0.964762,0.35,0.0772565,-0.0118519
9.22169,0.966809,0.35,0.0767588,-0.0127824
9.26209,0.968842,0.35,0.0762239,-0.0136884
9.3025,0.970859,0.35,0.075653,-0.0145699
9.3429,0.972861,0.35,0.0750469,-0.015427
9.38331,0.974845,0.35,0.0744067,-0.0162596
9.42371,0.976811,0.35,0.0737333,-0.0170676
9.46411,0.978758,0.35,0.0730278,-0.0178512
9.50452,0.980686,0.35,0.0722911,-0.0186103
9.54492,0.982594,0.35,0.0715243,-0.019345
9.58533,0.98448,0.35,0.0707282,-0.0200551
9.62573,0.986344,0.35,0.069904,-0.0207407
9.66614,0.988185,0.35,0.0690525,-0.0214019
9.70654,0.990003,0.35,0.0681749,-0.0220386
9.74694,0.991797,0.35,0.067272,-0.0226507
9.78735,0.993566,0.35,0.0663448,-0.0232384
9.82775,0.99531,0.35,0.0653944,-0.0238017
9.86816,0.997028,0.35,0.0644218,-0.0243404
9.90856,0.998719,0.35,0.0634279,-0.0248546
9.94896,1.00038,0.35,0.0624137,-0.0253444
9.98937,1.00202,0.35,0.0613802,-0.0258096
10.0298,1.00363,0.35,0.0603284,-0.0262504
10.0702,1.00521,0.35,0.0592593,-0.0266667
10.1106,1.00676,0.35,0.0581738,-0.0270585
10.151,1.00828,0.35,0.057073,-0.0274258
10.1914,1.00978,0.35,0.0559579,-0.0277686
10.2318,1.01124,0.35,0.0548294,-0.0280869
10.2722,1.01267,0.35,0.0536886,-0.0283808
10.3126,1.01407,0.35,0.0525364,-0.0286501
10.353,1.01544,0.35,0.0513738,-0.028895
10.3934,1.01678,0.35,0.0502018,-0.0291154
10.4338,1.01809,0.35,0.0490213,-0.0293113
10.4742,1.01936,0.35,0.0478335,-0.0294827
10.5146,1.0206,0.35,0.0466392,-0.0296296
10.555,1.02182,0.35,0.0454395,-0.0297521
10.5954,1.023,0.35,0.0442354,-0.02985
10.6358,1.02414,0.35,0.0430277,-0.0299235
10.6762,1.02526,0.35,0.0418176,-0.0299725
10.7166,1.02634,0.35,0.040606,-0.0299969
10.757,1.02739,0.35,0.039394,-0.0299969
10.7974,1.02841,0.35,0.0381824,-0.0299725
10.8379,1.0294,0.35,0.0369723,-0.0299235
10.8783,1.03035,0.35,0.0357646,-0.02985
10.9187,1.03127,0.35,0.0345605,-0.0297521
10.9591,1.03216,0.35,0.0333608,-0.0296296
10.9995,1.03302,0.35,0.0321665,-0.0294827
11.0399,1.03385,0.35,0.0309787,-0.0293113
11.0803,1.03464,0.35,0.0297982,-0.0291154
11.1207,1.0354,0.35,0.0286262,-0.028895
11.1611,1.03614,0.35,0.0274636,-0.0286501
11.2015,1.03684,0.35,0.0263114,-0.0283808
11.2419,1.03751,0.35,0.0251706,-0.0280869
11.2823,1.03815,0.35,0.0240421,-0.0277686
11.3227,1.03876,0.35,0.022927,-0.0274258
11.3631,1.03934,0.35,0.0218262,-0.0270585
11.4035,1.0399,0.35,0.0207407,-0.0266667
11.4439,1.04042,0.35,0.0196716,-0.0262504
11.4843,1.04092,0.35,0.0186198,-0.0258096
11.5247,1.04139,0.35,0.0175863,-0.0253444
11.5651,1.04183,0.35,0.0165721,-0.0248546
11.6055,1.04224,0.35,0.0155782,-0.0243404
11.6459,1.04263,0.35,0.0146056,-0.0238017
11.6863,1.043,0.35,0.0136552,-0.0232384
11.7267,1.04334,0.35,0.012728,-0.0226507
11.7671,1.04365,0.35,0.0118251,-0.0220386
11.8075,1.04394,0.35,0.0109475,-0.0214019
11.848,1.04421,0.35,0.010096,-0.0207407
11.8884,1.04446,0.35,0.00927178,-0.0200551
11.9288,1.04469,0.35,0.00847574,-0.019345
11.9692,1.04489,0.35,0.00770888,-0.0186103
12.0096,1.04508,0.35,0.0069722,-0.0178512
12.05,1.04524,0.35,0.00626669,-0.0170676
12.0904,1.04539,0.35,0.00559333,-0.0162596
12.1308,1.04553,0.35,0.00495311,-0.015427
12.1712,1.04564,0.35,0.00434703,-0.0145699
12.2116,1.04574,0.35,0.00377607,-0.0136884
12.252,1.04583,0.35,0.00324123,-0.0127824
12.2924,1.0459,0.35,0.00274348,-0.0118519
12.3328,1.04596,0.35,0.00228383,-0.0108968
12.3732,1.04601,0.35,0.00186326,-0.00991736
12.4136,1.04605,0.35,0.00148276,-0.00891338
12.454,1.04608,0.35,0.00114332,-0.00788491
12.4944,1.04611,0.35,0.000845925,-0.00683196
12.5348,1.04612,0.35,0.00059157,-0.00575451
12.5752,1.04613,0.35,0.000381243,-0.00465259
12.6156,1.04614,0.35,0.000215933,-0.00352617
12.656,1.04614,0.35,9.663e-05,-0.00237527
12.6964,1.04614,0.35,2.43224e-05,-0.00119988
12.7368,1.04614,0.35,0,-0
12.7368,1.04614,0.35,0,0
12.7812,1.04614,0.349999,6.83708e-05,0.00305436
12.8255,1.04614,0.349992,0.000267931,0.00592172
12.8698,1.04614,0.349973,0.000590478,0.00860593
12.9141,1.04614,0.349938,0.00102798,0.0111108
12.9584,1.04614,0.349881,0.00157259,0.0134403
13.0027,1.04614,0.349797,0.0022166,0.0155982
13.047,1.04614,0.349683,0.0029525,0.0175884
13.0913,1.04614,0.349534,0.00377295,0.0194147
13.1357,1.04614,0.349347,0.00467077,0.0210811
13.18,1.04614,0.349119,0.00563896,0.0225912
13.2243,1.04614,0.348847,0.00667067,0.0239491
13.2686,1.04614,0.348527,0.00775925,0.0251585
13.3129,1.04614,0.348158,0.0088982,0.0262233
13.3572,1.04614,0.347738,0.0100812,0.0271474
13.4015,1.04614,0.347264,0.0113021,0.0279346
13.4458,1.04614,0.346736,0.0125549,0.0285887
13.4902,1.04614,0.346151,0.0138339,0.0291138
13.5345,1.04614,0.345509,0.0151333,0.0295135
13.5788,1.04614,0.34481,0.0164477,0.0297917
13.6231,1.04614,0.344052,0.0177719,0.0299524
13.6674,1.04614,0.343235,0.0191006,0.0299993
13.7117,1.04614,0.342359,0.0204289,0.0299363
13.756,1.04614,0.341424,0.0217521,0.0297673
13.8003,1.04614,0.340431,0.0230655,0.0294961
13.8447,1.04614,0.33938,0.0243648,0.0291266
13.889,1.04614,0.338272,0.0256455,0.0286627
13.9333,1.04614,0.337108,0.0269037,0.0281081
13.9776,1.04614,0.335888,0.0281353,0.0274667
14.0219,1.04614,0.334615,0.0293367,0.0267425
14.0662,1.04614,0.333289,0.0305042,0.0259392
14.1105,1.04614,0.331912,0.0316344,0.0250608
14.1548,1.04614,0.330486,0.0327241,0.024111
14.1992,1.04614,0.329012,0.0337703,0.0230937
14.2435,1.04614,0.327494,0.0347699,0.0220128
14.2878,1.04614,0.325932,0.0357203,0.0208722
14.3321,1.04614,0.324329,0.0366189,0.0196757
14.3764,1.04614,0.322687,0.0374633,0.018427
14.4207,1.04614,0.321009,0.0382513,0.0171302
14.465,1.04614,0.319298,0.0389808,0.0157891
14.5093,1.04614,0.317555,0.03965,0.0144075
14.5537,1.04614,0.315785,0.0402571,0.0129892
14.598,1.04614,0.313989,0.0408006,0.0115382
14.6423,1.04614,0.31217,0.0412792,0.0100582
14.6866,1.04614,0.310331,0.0416917,0.00855323
14.7309,1.04614,0.308476,0.042037,0.00702702
14.7752,1.04614,0.306607,0.0423142,0.00548345
14.8195,1.04614,0.304727,0.0425227,0.00392639
14.8638,1.04614,0.302839,0.042662,0.00235969
14.9082,1.04614,0.300947,0.0427318,0.000787206
14.9525,1.04614,0.299053,0.0427318,-0.000787206
14.9968,1.04614,0.297161,0.042662,-0.00235969
15.0411,1.04614,0.295273,0.0425227,-0.00392639
15.0854,1.04614,0.293393,0.0423142,-0.00548345
15.1297,1.04614,0.291524,0.042037,-0.00702702
15.174,1.04614,0.289669,0.0416917,-0.00855323
15.2183,1.04614,0.28783,0.0412792,-0.0100582
15.2627,1.04614,0.286011,0.0408006,-0.0115382
15.307,1.04614,0.284215,0.0402571,-0.0129892
15.3513,1.04614,0.282445,0.03965,-0.0144075
15.3956,1.04614,0.280702,0.0389808,-0.0157891
15.4399,1.04614,0.278991,0.0382513,-0.0171302
15.4842,1.04614,0.277313,0.0374633,-0.018427
15.5285,1.04614,0.275671,0.0366189,-0.0196757
15.5728,1.04614,0.274068,0.0357203,-0.0208722
15.6172,1.04614,0.272506,0.0347699,-0.0220128
15.6615,1.04614,0.270988,0.0337703,-0.0230937
15.7058,1.04614,0.269514,0.0327241,-0.024111
15.7501,1.04614,0.268088,0.0316344,-0.0250608
15.7944,1.04614,0.266711,0.0305042,-0.0259392
15.8387,1.04614,0.265385,0.0293367,-0.0267425
15.883,1.04614,0.264112,0.0281353,-0.0274667
15.9273,1.04614,0.262892,0.0269037,-0.0281081
15.9717,1.04614,0.261728,0.0256455,-0.0286627
16.016,1.04614,0.26062,0.0243648,-0.0291266
16.0603,1.04614,0.259569,0.0230655,-0.0294961
16.1046,1.04614,0.258576,0.0217521,-0.0297673
16.1489,1.04614,0.257641,0.0204289,-0.0299363
16.1932,1.04614,0.256765,0.0191006,-0.0299993
16.2375,1.04614,0.255948,0.0177719,-0.0299524
16.2818,1.04614,0.25519,0.0164477,-0.0297917
16.3262,1.04614,0.254491,0.0151333,-0.0295135
16.3705,1.04614,0.253849,0.0138339,-0.0291138
16.4148,1.04614,0.253264,0.0125549,-0.0285887
16.4591,1.04614,0.252736,0.0113021,-0.0279346
16.5034,1.04614,0.252262,0.0100812,-0.0271474
16.5477,1.04614,0.251842,0.0088982,-0.0262233
16.592,1.04614,0.251473,0.00775925,-0.0251585
16.6363,1.04614,0.251153,0.00667067,-0.0239491
